0.0,0.0
0.005,1e-06
0.01,1.9997500052082245e-06
0.015,2.999000083330295e-06
0.02,3.997500427050999e-06
0.025,4.995001416484823e-06
0.03,5.991253681579613e-06
0.035,6.986008164457805e-06
0.04,7.979016181679583e-06
0.045,8.97002948641245e-06
0.05,9.958800330491643e-06
0.055,1.0945081526355881e-05
0.06,1.1928626508842975e-05
0.065,1.2909189396829826e-05
0.07,1.3886525054701432e-05
0.075,1.4860389153633505e-05
0.08,1.5830538232673416e-05
0.085,1.679672975960416e-05
0.09,1.7758722191576142e-05
0.095,1.8716275035491647e-05
0.1,1.9669148908126844e-05
0.105,2.0617105595976356e-05
0.11,2.1559908114805397e-05
0.115,2.249732076889459e-05
0.12,2.3429109209962656e-05
0.125,2.43550404957523e-05
0.13,2.527488314826453e-05
0.135,2.6188407211626968e-05
0.14,2.7095384309581612e-05
0.145,2.799558770257771e-05
0.15,2.8888792344455477e-05
0.155,2.9774774938706453e-05
0.16,3.065331399429647e-05
0.165,3.1524189881037256e-05
0.17,3.2387184884492854e-05
0.17500000000000002,3.3242083260407064e-05
0.18,3.4088671288638415e-05
0.185,3.4926737326589064e-05
0.19,3.5756071862114364e-05
0.195,3.657646756589979e-05
0.2,3.738771934329221e-05
0.20500000000000002,3.818962438557244e-05
0.21,3.8981982220656424e-05
0.215,3.976459476321218e-05
0.22,4.053726636418007e-05
0.225,4.129980385968412e-05
0.23,4.205201661932191e-05
0.23500000000000001,4.279371659382122e-05
0.24,4.352471836205138e-05
0.245,4.424483917737754e-05
0.25,4.495389901334643e-05
0.255,4.565172060869198e-05
0.26,4.633812951164978e-05
0.265,4.701295412356905e-05
0.27,4.767602574181146e-05
0.275,4.832717860192588e-05
0.28,4.896624991908862e-05
0.28500000000000003,4.9593079928798814e-05
0.29,5.0207511926818714e-05
0.295,5.080939230834892e-05
0.3,5.139857060642878e-05
0.305,5.1974899529552334e-05
0.31,5.2538234998490466e-05
0.315,5.3088436182309906e-05
0.32,5.3625365533580274e-05
0.325,5.414888882276021e-05
0.33,5.465887517175404e-05
0.335,5.515519708663065e-05
0.34,5.563773048949627e-05
0.34500000000000003,5.6106354749513315e-05
0.35000000000000003,5.6560952713057487e-05
0.355,5.700141073300555e-05
0.36,5.742761869714651e-05
0.365,5.783947005570913e-05
0.37,5.8236861847998786e-05
0.375,5.86196947281371e-05
0.38,5.898787298989793e-05
0.385,5.934130459063339e-05
0.39,5.967990117428405e-05
0.395,6.0003578093467486e-05
0.4,6.0312254430639685e-05
0.405,6.060585301832399e-05
0.41000000000000003,6.088430045840263e-05
0.41500000000000004,6.114752714046579e-05
0.42,6.13954672592139e-05
0.425,6.162805883090858e-05
0.43,6.184524370886834e-05
0.435,6.20469675980048e-05
0.44,6.22331800683963e-05
0.445,6.240383456789509e-05
0.45,6.255888843376511e-05
0.455,6.269830290334744e-05
0.46,6.282204312375078e-05
0.465,6.29300781605645e-05
0.47000000000000003,6.302238100559206e-05
0.47500000000000003,6.309892858360294e-05
0.48,6.315970175810132e-05
0.485,6.32046853361101e-05
0.49,6.323386807196905e-05
0.495,6.324724267014621e-05
0.5,6.32448057870617e-05
0.505,6.322655803192357e-05
0.51,6.319250396657558e-05
0.515,6.314265210435672e-05
0.52,6.307701490797289e-05
0.525,6.299560878638133e-05
0.53,6.289845409068845e-05
0.535,6.278557510906217e-05
0.54,6.265700006066001e-05
0.545,6.251276108857442e-05
0.55,6.23528942517972e-05
0.555,6.21774395162049e-05
0.56,6.198644074456762e-05
0.5650000000000001,6.17799456855835e-05
0.5700000000000001,6.155800596194185e-05
0.5750000000000001,6.132067705741763e-05
0.58,6.106801830300093e-05
0.585,6.0800092862064434e-05
0.59,6.051696771457298e-05
0.595,6.021871364033886e-05
0.6,5.990540520132725e-05
0.605,5.9577120723016127e-05
0.61,5.923394227481529e-05
0.615,5.887595564954943e-05
0.62,5.85032503420104e-05
0.625,5.811591952658394e-05
0.63,5.771406003395661e-05
0.635,5.7297772326908594e-05
0.64,5.686716047519853e-05
0.645,5.642233212954662e-05
0.65,5.596339849472251e-05
0.655,5.549047430174468e-05
0.66,5.500367777919829e-05
0.665,5.4503130623678604e-05
0.67,5.398895796936756e-05
0.675,5.3461288356750806e-05
0.68,5.292025370048327e-05
0.685,5.2365989256411194e-05
0.6900000000000001,5.179863358775885e-05
0.6950000000000001,5.12183285304885e-05
0.7000000000000001,5.06252191578421e-05
0.705,5.001945374407376e-05
0.71,4.9401183727381945e-05
0.715,4.877056367205075e-05
0.72,4.812775122980959e-05
0.725,4.747290710042112e-05
0.73,4.680619499150711e-05
0.735,4.61277815776224e-05
0.74,4.543783645858714e-05
0.745,4.473653211708769e-05
0.75,4.402404387555689e-05
0.755,4.330054985234432e-05
0.76,4.2566230917187666e-05
0.765,4.182127064599621e-05
0.77,4.1065855274957845e-05
0.775,4.030017365398094e-05
0.78,3.952441719948291e-05
0.785,3.873877984653706e-05
0.79,3.794345800038985e-05
0.795,3.713865048736061e-05
0.8,3.632455850513596e-05
0.805,3.55013855724715e-05
0.81,3.466933747831311e-05
0.8150000000000001,3.382862223035084e-05
0.8200000000000001,3.2979450003018054e-05
0.8250000000000001,3.212203308494891e-05
0.8300000000000001,3.12565858259073e-05
0.835,3.0383324583200544e-05
0.84,2.950246766759117e-05
0.845,2.861423528872038e-05
0.85,2.7718849500056777e-05
0.855,2.6816534143384158e-05
0.86,2.590751479284223e-05
0.865,2.4992018698534248e-05
0.87,2.4070274729715687e-05
0.875,2.31425133175781e-05
0.88,2.2208966397642528e-05
0.885,2.1269867351776836e-05
0.89,2.0325450949851448e-05
0.895,1.9375953291048114e-05
0.9,1.842161174483634e-05
0.905,1.7462664891632254e-05
0.91,1.649935246315474e-05
0.915,1.5531915282493776e-05
0.92,1.4560595203905891e-05
0.925,1.358563505235188e-05
0.93,1.260727856279182e-05
0.935,1.16257703192526e-05
0.9400000000000001,1.0641355693683193e-05
0.9450000000000001,9.654280784612937e-06
0.9500000000000001,8.664792355628193e-06
0.9550000000000001,7.673137773682729e-06
0.96,6.6795649472572706e-06
0.965,5.684322264383674e-06
0.97,4.6876585305492095e-06
0.975,3.6898229064964868e-06
0.98,2.691064845934567e-06
0.985,1.6916340331768333e-06
0.99,6.917803207212158e-07
0.995,-3.082463332116347e-07
1.0,-1.3081959271665984e-06
